4;a;q,w,s,z,smaller_than,caps_lock;d,x,alt,left_window,left_shift,tab,1,2,3,e
5;b;n,space,v,g,h;m,c,f,t,y,j
6;c;v,space,x,d,f;b,alt,z,s,e,r,t,g
7;d;f,c,x,s,e,r;g,v,space,alt,z,a,w,3,4,5,t
8;e;r,d,s,w,3,4;t,f,c,x,z,a,q,2,f2,f3,5
9;f;g,v,c,d,r,t;h,b,space,x,s,e,4,5,6,y
10;g;h,b,v,f,t,y;j,n,space,c,d,r,5,6,7,u
11;h;j,n,b,g,y,u;k,m,space,v,f,t,6,7,8,i
12;i;o,k,j,u,8,9;p,l,comma,m,n,h,y,7,f6,f7,f8,0
13;j;k,m,n,h,u,i;l,comma,space,b,g,y,7,8,9,o
14;k;l,comma,m,j,i,o;ö,dot,alt_gr,space,n,h,u,8,9,0,p
15;l;ö,dot,comma,k,o,p;ä,minus,right_window,alt_gr,space,m,j,i,9,0,plus,å
16;m;comma,space,n,j,k;dot,alt_gr,space,b,h,u,i,o,l
17;n;m,space,b,h,j;comma,alt_gr,space,v,g,y,u,i,k
18;o;p,l,k,i,9,0;å,ö,dot,comma,m,j,u,8,f7,f8,plus
19;p;å,ö,l,o,0,plus;vinohipsu,tuplapiste,ä,minus,dot,comma,k,i,9,f8,f9
20;q;w,a,caps_lock,tab,1,2;e,s,z,smaller_than,left_shift,esc,f1,3
21;r;t,f,d,e,4,5;y,g,v,c,x,s,w,3,f3,f4,6
22;s;d,x,z,a,w,e;f,c,alt,left_window,smaller_than,caps_lock,tab,q,2,3,4,r
23;t;y,g,f,r,5,6;u,h,b,v,c,d,e,4,f4,f5,7
24;u;i,j,h,y,7,8;o,k,m,n,b,g,t,6,f5,f6,f7,9
25;v;b,space,c,f,g;n,x,d,r,t,y,h
26;w;e,s,a,q,2,3;r,d,x,z,smaller_than,caps_lock,tab,1,f1,f2,4
27;x;c,alt,z,s,d;v,space,left_window,smaller_than,a,w,e,r,f
28;y;u,h,g,t,6,7;i,j,n,b,v,f,r,5,f5,f6,8
29;z;x,alt,left_window,smaller_than,a,s;c,alt,left_window,smaller_than,a,w,e,d
30;1;2,q,tab,section,esc;3,w,a,caps_lock,f1
31;2;3,w,q,1,f1;4,e,s,a,tab,section,f1,f2
32;3;4,e,w,2,f2;5,r,d,s,a,q,1,f1,f3
33;4;5,r,e,3,f3;6,t,f,d,s,w,2,f2,f4
34;5;6,t,r,4,f4;7,y,g,f,d,e,3,f3,f5
35;6;7,y,t,5,f4,f5;8,u,h,g,f,r,4,f3,f6
36;7;8,u,y,6,f5,f6;9,i,j,h,g,t,5,f4,f7
37;8;9,i,u,7,f6,f7;0,o,k,j,h,y,6,f5,f8
38;9;0,o,i,8,f7,f8;plus,p,l,k,j,u,7,f6,f9
39;0;plus,p,o,9,f8,f9;vinohipsu,å,ö,l,k,i,8,f7,f10
40;enter;delete,right_shift,hipsu,tuplapiste,backspace;end,arrow_up,arrow_left,right_ctrl,sysmenu,minus,ä,å,vinohipsu,f11,f12,print_scrn,insert
